Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
6/8/2018,2779.03,6/8/2018,11.56,6/8/2018,12.18,6/8/2018,14.6,6/8/2018,16.13,6/8/2018,17.23
6/11/2018,2782,6/11/2018,12.53,6/11/2018,12.35,6/11/2018,14.55,6/11/2018,16.12,6/11/2018,17.17
6/12/2018,2786.85,6/12/2018,12.03,6/12/2018,12.34,6/12/2018,14.59,6/12/2018,16.17,6/12/2018,17.23
6/13/2018,2775.63,6/13/2018,12.66,6/13/2018,12.94,6/13/2018,14.92,6/13/2018,16.43,6/13/2018,17.44
6/14/2018,2782.49,6/14/2018,11.04,6/14/2018,12.12,6/14/2018,14.4,6/14/2018,16.09,6/14/2018,17.31
6/15/2018,2779.66,6/15/2018,10.84,6/15/2018,11.98,6/15/2018,14.42,6/15/2018,16.32,6/15/2018,17.54
6/18/2018,2773.75,6/18/2018,11.69,6/18/2018,12.31,6/18/2018,14.48,6/18/2018,16.35,6/18/2018,17.61
6/19/2018,2762.59,6/19/2018,12.97,6/19/2018,13.35,6/19/2018,15.17,6/19/2018,16.89,6/19/2018,18.09
6/20/2018,2767.32,6/20/2018,12.16,6/20/2018,12.79,6/20/2018,14.79,6/20/2018,16.52,6/20/2018,17.77
6/21/2018,2749.76,6/21/2018,14.56,6/21/2018,14.64,6/21/2018,15.87,6/21/2018,17.2,6/21/2018,18.18
6/22/2018,2754.88,6/22/2018,12.16,6/22/2018,13.77,6/22/2018,15.5,6/22/2018,16.92,6/22/2018,18.12
6/25/2018,2717.07,6/25/2018,17.68,6/25/2018,17.33,6/25/2018,17.52,6/25/2018,18.27,6/25/2018,18.87
6/26/2018,2723.06,6/26/2018,15.16,6/26/2018,15.92,6/26/2018,16.87,6/26/2018,17.79,6/26/2018,18.49
6/27/2018,2699.63,6/27/2018,17.91,6/27/2018,17.91,6/27/2018,18.05,6/27/2018,18.66,6/27/2018,18.99
6/28/2018,2716.31,6/28/2018,15.83,6/28/2018,16.85,6/28/2018,17.52,6/28/2018,18.29,6/28/2018,18.78
6/29/2018,2718.37,6/29/2018,14.93,6/29/2018,16.09,6/29/2018,17.14,6/29/2018,18.09,6/29/2018,18.67
7/2/2018,2726.71,7/2/2018,14.42,7/2/2018,15.6,7/2/2018,16.95,7/2/2018,17.97,7/2/2018,18.65
7/3/2018,2713.22,7/3/2018,15.17,7/3/2018,16.14,7/3/2018,17.35,7/3/2018,18.23,7/3/2018,18.82
7/5/2018,2736.61,7/5/2018,14.14,7/5/2018,14.97,7/5/2018,16.53,7/5/2018,17.63,7/5/2018,18.35
7/6/2018,2759.82,7/6/2018,11.49,7/6/2018,13.37,7/6/2018,15.71,7/6/2018,17.07,7/6/2018,18
7/9/2018,2784.17,7/9/2018,10.79,7/9/2018,12.69,7/9/2018,14.87,7/9/2018,16.29,7/9/2018,17.4
7/10/2018,2793.84,7/10/2018,10.66,7/10/2018,12.64,7/10/2018,14.71,7/10/2018,16.11,7/10/2018,17.23
7/11/2018,2774.02,7/11/2018,11.8,7/11/2018,13.63,7/11/2018,15.38,7/11/2018,16.54,7/11/2018,17.46
7/12/2018,2798.29,7/12/2018,10.6,7/12/2018,12.58,7/12/2018,14.76,7/12/2018,16.1,7/12/2018,17.22
7/13/2018,2801.31,7/13/2018,10.07,7/13/2018,12.18,7/13/2018,14.54,7/13/2018,15.9,7/13/2018,17.11
7/16/2018,2798.43,7/16/2018,11.5,7/16/2018,12.83,7/16/2018,14.85,7/16/2018,16.1,7/16/2018,17.21
7/17/2018,2809.55,7/17/2018,10.56,7/17/2018,12.06,7/17/2018,14.4,7/17/2018,15.83,7/17/2018,17.14
7/18/2018,2815.62,7/18/2018,10.03,7/18/2018,12.1,7/18/2018,14.39,7/18/2018,15.88,7/18/2018,17.17
7/19/2018,2804.49,7/19/2018,11.15,7/19/2018,12.87,7/19/2018,14.97,7/19/2018,16.22,7/19/2018,17.41
7/20/2018,2801.83,7/20/2018,11.01,7/20/2018,12.86,7/20/2018,15.08,7/20/2018,16.41,7/20/2018,17.62
7/23/2018,2806.98,7/23/2018,11.34,7/23/2018,12.62,7/23/2018,14.86,7/23/2018,16.24,7/23/2018,17.45
7/24/2018,2820.4,7/24/2018,11.15,7/24/2018,12.41,7/24/2018,14.7,7/24/2018,16.09,7/24/2018,17.33
7/25/2018,2846.07,7/25/2018,11.27,7/25/2018,12.29,7/25/2018,14.55,7/25/2018,15.89,7/25/2018,17.14
7/26/2018,2837.44,7/26/2018,11.07,7/26/2018,12.14,7/26/2018,14.4,7/26/2018,15.87,7/26/2018,17.18
7/27/2018,2818.82,7/27/2018,11.59,7/27/2018,13.03,7/27/2018,15,7/27/2018,16.22,7/27/2018,17.33
7/30/2018,2802.6,7/30/2018,13.57,7/30/2018,14.26,7/30/2018,15.66,7/30/2018,16.68,7/30/2018,17.66
7/31/2018,2816.29,7/31/2018,11.64,7/31/2018,12.83,7/31/2018,14.87,7/31/2018,16.21,7/31/2018,17.42
8/1/2018,2813.36,8/1/2018,12.29,8/1/2018,13.15,8/1/2018,15.22,8/1/2018,16.41,8/1/2018,17.59
8/2/2018,2827.22,8/2/2018,10.51,8/2/2018,12.19,8/2/2018,14.76,8/2/2018,16.08,8/2/2018,17.34
8/3/2018,2840.35,8/3/2018,9.58,8/3/2018,11.64,8/3/2018,14.49,8/3/2018,15.9,8/3/2018,17.13
8/6/2018,2850.4,8/6/2018,9.74,8/6/2018,11.27,8/6/2018,14.23,8/6/2018,15.68,8/6/2018,16.92
8/7/2018,2858.45,8/7/2018,9.13,8/7/2018,10.93,8/7/2018,13.93,8/7/2018,15.41,8/7/2018,16.76
8/8/2018,2857.7,8/8/2018,8.86,8/8/2018,10.85,8/8/2018,13.96,8/8/2018,15.45,8/8/2018,16.85
8/9/2018,2853.58,8/9/2018,9.46,8/9/2018,11.27,8/9/2018,14.13,8/9/2018,15.54,8/9/2018,16.89
8/10/2018,2833.28,8/10/2018,13.09,8/10/2018,13.16,8/10/2018,15.22,8/10/2018,16.29,8/10/2018,17.4
8/13/2018,2821.93,8/13/2018,15.34,8/13/2018,14.78,8/13/2018,16.21,8/13/2018,16.97,8/13/2018,17.83
8/14/2018,2839.96,8/14/2018,12.62,8/14/2018,13.31,8/14/2018,15.35,8/14/2018,16.39,8/14/2018,17.45
8/15/2018,2818.37,8/15/2018,15.01,8/15/2018,14.64,8/15/2018,16.19,8/15/2018,16.94,8/15/2018,17.72
8/16/2018,2840.69,8/16/2018,12.92,8/16/2018,13.45,8/16/2018,15.51,8/16/2018,16.47,8/16/2018,17.38
8/17/2018,2850.13,8/17/2018,11.57,8/17/2018,12.64,8/17/2018,15.17,8/17/2018,16.26,8/17/2018,17.27
8/20/2018,2857.05,8/20/2018,11.42,8/20/2018,12.49,8/20/2018,15,8/20/2018,16.15,8/20/2018,17.16
8/21/2018,2862.96,8/21/2018,11.55,8/21/2018,12.86,8/21/2018,15.19,8/21/2018,16.33,8/21/2018,17.24
8/22/2018,2861.82,8/22/2018,10.77,8/22/2018,12.25,8/22/2018,15.08,8/22/2018,16.25,8/22/2018,17.2
8/23/2018,2856.98,8/23/2018,10.8,8/23/2018,12.41,8/23/2018,15.06,8/23/2018,16.28,8/23/2018,17.25
8/24/2018,2874.69,8/24/2018,10.17,8/24/2018,11.99,8/24/2018,14.82,8/24/2018,16.07,8/24/2018,17.08
8/27/2018,2896.74,8/27/2018,10.23,8/27/2018,12.16,8/27/2018,14.79,8/27/2018,16,8/27/2018,17.01
8/28/2018,2897.52,8/28/2018,10.2,8/28/2018,12.5,8/28/2018,15.11,8/28/2018,16.25,8/28/2018,17.21
8/29/2018,2914.04,8/29/2018,9.77,8/29/2018,12.25,8/29/2018,14.95,8/29/2018,16.2,8/29/2018,17.2
8/30/2018,2901.13,8/30/2018,11.49,8/30/2018,13.53,8/30/2018,15.54,8/30/2018,16.69,8/30/2018,17.58
8/31/2018,2901.52,8/31/2018,11.01,8/31/2018,12.86,8/31/2018,15.15,8/31/2018,16.43,8/31/2018,17.41
9/4/2018,2896.72,9/4/2018,11.97,9/4/2018,13.16,9/4/2018,15.45,9/4/2018,16.59,9/4/2018,17.5
9/5/2018,2888.6,9/5/2018,12.65,9/5/2018,13.91,9/5/2018,15.92,9/5/2018,16.93,9/5/2018,17.8
9/6/2018,2878.05,9/6/2018,13.46,9/6/2018,14.65,9/6/2018,16.34,9/6/2018,17.26,9/6/2018,18.02
9/7/2018,2871.68,9/7/2018,13.49,9/7/2018,14.88,9/7/2018,16.59,9/7/2018,17.47,9/7/2018,18.18
9/10/2018,2877.13,9/10/2018,12.57,9/10/2018,14.16,9/10/2018,16.17,9/10/2018,17.15,9/10/2018,18.04
9/11/2018,2887.89,9/11/2018,11,9/11/2018,13.22,9/11/2018,15.54,9/11/2018,16.64,9/11/2018,17.68
9/12/2018,2888.92,9/12/2018,10.67,9/12/2018,13.14,9/12/2018,15.32,9/12/2018,16.4,9/12/2018,17.45
9/13/2018,2904.18,9/13/2018,10.03,9/13/2018,12.37,9/13/2018,14.77,9/13/2018,15.86,9/13/2018,17.11
9/14/2018,2904.98,9/14/2018,9.93,9/14/2018,12.07,9/14/2018,14.37,9/14/2018,15.6,9/14/2018,16.98
9/17/2018,2888.8,9/17/2018,13.5,9/17/2018,13.68,9/17/2018,15.28,9/17/2018,16.1,9/17/2018,17.23
9/18/2018,2904.31,9/18/2018,11.74,9/18/2018,12.79,9/18/2018,15.04,9/18/2018,15.99,9/18/2018,17.1
9/19/2018,2907.95,9/19/2018,11.45,9/19/2018,11.75,9/19/2018,14.65,9/19/2018,15.85,9/19/2018,16.99
9/20/2018,2930.75,9/20/2018,11.04,9/20/2018,11.8,9/20/2018,14.51,9/20/2018,15.7,9/20/2018,16.84
